City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,smithers,54.7804,-127.1743,-2.82,68,100,2.06,CA,1698144377
1,nemuro,43.3236,145.575,11.4,72,87,5.25,JP,1698144378
2,klyuchi,52.2667,79.1667,5.3,47,100,8.13,RU,1698144379
3,hermanus,-34.4187,19.2345,17.53,71,32,4.12,ZA,1698144381
4,rio grande,-32.035,-52.0986,21.06,97,67,5.2,BR,1698144383
5,port-aux-francais,-49.35,70.2167,3.48,94,76,14.11,TF,1698144385
6,ushuaia,-54.8,-68.3,9.81,50,0,1.03,AR,1698144387
7,grytviken,-54.2811,-36.5092,2.21,90,76,6.73,GS,1698144388
8,prieska,-29.6641,22.7474,28.21,9,0,6.91,ZA,1698144389
9,okhotsk,59.3833,143.3,-9.69,82,8,4.07,RU,1698144391
10,stanley,54.868,-1.6985,9.87,95,75,2.57,GB,1698144392
11,yala,6.3333,101.25,25.62,90,82,0.76,TH,1698144393
12,badger,64.8,-147.5333,-5.07,89,100,0.0,US,1698144394
13,airuk,7.2772,168.8203,28.88,75,100,5.28,MH,1698144395
14,murghob,38.1702,73.9667,2.97,25,2,1.0,TJ,1698144397
15,vorgashor,67.5833,63.95,-10.64,98,98,0.99,RU,1698144398
16,puerto natales,-51.7236,-72.4875,5.62,92,69,1.63,CL,1698144399
17,port mathurin,-19.6833,63.4167,24.85,79,7,7.19,MU,1698144400
18,blackmans bay,-43.0167,147.3167,13.18,57,25,4.02,AU,1698144401
19,vadso,70.0744,29.7487,1.49,80,75,4.63,NO,1698144403
20,edinburgh of the seven seas,-37.0676,-12.3116,13.49,83,100,6.43,SH,1698144404
21,paranaiba,-19.6772,-51.1908,31.91,34,99,2.95,BR,1698144406
22,tura,25.5198,90.2201,23.36,90,100,0.76,IN,1698144407
23,constantia,44.1833,28.65,24.38,50,7,1.76,RO,1698144246
24,port saint john's,-31.6229,29.5448,21.9,63,0,7.51,ZA,1698144409
25,waitangi,-43.9535,-176.5597,9.9,82,98,0.89,NZ,1698144411
26,wailua homesteads,22.0669,-159.378,25.24,89,20,3.09,US,1698144412
27,olonkinbyen,70.9221,-8.7187,3.78,90,100,4.53,SJ,1698144413
28,thompson,55.7435,-97.8558,-2.91,59,100,5.66,CA,1698144140
29,benguela,-12.5763,13.4055,26.21,66,99,4.45,AO,1698144416
30,puerto ayora,-0.7393,-90.3518,24.19,95,91,2.24,EC,1698144417
31,stornoway,58.2093,-6.3865,12.8,80,0,3.09,GB,1698144418
32,ribeira grande,38.5167,-28.7,21.54,100,75,7.72,PT,1698144419
33,qaqortoq,60.7167,-46.0333,0.82,52,2,3.7,GL,1698144420
34,adamstown,-25.066,-130.1015,22.14,81,37,4.94,PN,1698144421
35,iskateley,67.6803,53.1512,-3.05,84,89,4.23,RU,1698144423
36,broken hill,-31.95,141.4333,18.26,28,73,10.74,AU,1698144424
37,dabakala,8.3667,-4.4333,28.36,69,79,1.1,CI,1698144425
38,atafu village,-8.5421,-172.5159,28.94,69,12,2.72,TK,1698144427
39,gibsonville,36.1057,-79.5423,5.93,100,0,0.0,US,1698144489
40,alofi,-19.0595,-169.9187,20.94,68,90,3.09,NU,1698144491
41,sant feliu de guixols,41.7833,3.0333,21.63,43,52,2.03,ES,1698144492
42,kodiak,57.79,-152.4072,-3.27,93,0,3.09,US,1698144205
43,invercargill,-46.4,168.35,11.68,92,96,0.89,NZ,1698144494
44,hailar,49.2,119.7,7.43,44,28,3.74,CN,1698144495
